,address,category,date,dayofweek,descript,incidntnum,location,pddistrict,resolution,time,x,y
77,FILLMORE ST / GOLDEN GATE AV,OTHER OFFENSES,2006-05-29,Monday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",60567498,"{u'latitude': u'37.7795647498663', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.431952436364'}",NORTHERN,"ARREST, CITED",07:00,-122.431952436,37.7795647499
78,GARFIELD ST / ARCH ST,ROBBERY,2006-02-23,Thursday,"ROBBERY ON THE STREET, STRONGARM",60209377,"{u'latitude': u'37.7196731119854', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.46715214334'}",TARAVAL,NONE,19:20,-122.467152143,37.719673112
79,CEDAR ST / VANNESS AV,DRUG/NARCOTIC,2008-12-19,Friday,POSSESSION OF NARCOTICS PARAPHERNALIA,81351052,"{u'latitude': u'37.7861527352201', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421477162118'}",NORTHERN,"ARREST, BOOKED",16:53,-122.421477162,37.7861527352
80,1300 Block of UNION ST,LARCENY/THEFT,2004-09-17,Friday,PETTY THEFT FROM UNLOCKED AUTO,41082316,"{u'latitude': u'37.7988100752774', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421517738846'}",NORTHERN,NONE,06:30,-122.421517739,37.7988100753
81,0 Block of CLIFFORD TR,VEHICLE THEFT,2012-08-16,Thursday,ATTEMPTED STOLEN VEHICLE,120662118,"{u'latitude': u'37.7638450082038', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.443653212652'}",PARK,NONE,23:00,-122.443653213,37.7638450082
82,1300 Block of BATTERY ST,LARCENY/THEFT,2014-06-01,Sunday,PETTY THEFT FROM LOCKED AUTO,140457610,"{u'latitude': u'37.803687099963', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.402005149655'}",CENTRAL,NONE,20:00,-122.40200515,37.8036871
83,500 Block of JOHNFKENNEDY DR,DRUG/NARCOTIC,2009-06-07,Sunday,POSSESSION OF MARIJUANA FOR SALES,90586123,"{u'latitude': u'37.7725405391593', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.466204667893'}",RICHMOND,"ARREST, BOOKED",16:00,-122.466204668,37.7725405392
84,1200 Block of MARKET ST,ASSAULT,2014-06-04,Wednesday,THREATS AGAINST LIFE,140467487,"{u'latitude': u'37.778293520129', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415448759562'}",SOUTHERN,"ARREST, BOOKED",09:45,-122.41544876,37.7782935201
85,100 Block of TURK ST,SUSPICIOUS OCC,2007-03-14,Wednesday,SUSPICIOUS PERSON,70268181,"{u'latitude': u'37.7831614109395', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411615075408'}",TENDERLOIN,NOT PROSECUTED,21:44,-122.411615075,37.7831614109
86,HYDE ST / FULTON ST,OTHER OFFENSES,2014-11-16,Sunday,VIOLATION OF MUNICIPAL CODE,140970690,"{u'latitude': u'37.7797870676495', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415127837608'}",TENDERLOIN,"ARREST, BOOKED",09:12,-122.415127838,37.7797870676
87,MISSION ST / 16TH ST,OTHER OFFENSES,2011-02-22,Tuesday,TRAFFIC VIOLATION,110156397,"{u'latitude': u'37.7650501214668', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419671780296'}",MISSION,"ARREST, CITED",13:50,-122.41967178,37.7650501215
88,0 Block of JESSIE ST,NON-CRIMINAL,2013-05-01,Wednesday,"AIDED CASE, SICK PERSON",130355303,"{u'latitude': u'37.7891892111476', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.399380804529'}",SOUTHERN,NONE,07:20,-122.399380805,37.7891892111
89,EDDY ST / LARKIN ST,LARCENY/THEFT,2003-08-05,Tuesday,GRAND THEFT PICKPOCKET,30989888,"{u'latitude': u'37.783310753974', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417530696987'}",TENDERLOIN,NONE,10:00,-122.417530697,37.783310754
90,1800 Block of KEITH ST,DRUG/NARCOTIC,2008-10-20,Monday,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",81122900,"{u'latitude': u'37.7296930728174', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.389198596898'}",BAYVIEW,"ARREST, BOOKED",18:11,-122.389198597,37.7296930728
91,HOWARD ST / 2ND ST,LARCENY/THEFT,2008-01-17,Thursday,GRAND THEFT FROM LOCKED AUTO,86004739,"{u'latitude': u'37.7867787589097', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.398261647342'}",SOUTHERN,NONE,01:40,-122.398261647,37.7867787589
92,100 Block of MCALLISTER ST,LARCENY/THEFT,2003-01-28,Tuesday,PETTY THEFT FROM LOCKED AUTO,30115287,"{u'latitude': u'37.7808752665663', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41452262258'}",TENDERLOIN,NONE,18:45,-122.414522623,37.7808752666
93,100 Block of PARNASSUS AV,NON-CRIMINAL,2010-09-26,Sunday,AIDED CASE,100896202,"{u'latitude': u'37.7648254388589', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.450527489357'}",PARK,NONE,23:10,-122.450527489,37.7648254389
94,1000 Block of SUTTER ST,NON-CRIMINAL,2011-03-22,Tuesday,"DEATH REPORT, CAUSE UNKNOWN",110239313,"{u'latitude': u'37.7881242734432', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417672923626'}",CENTRAL,NONE,19:00,-122.417672924,37.7881242734
95,HARRISON ST / 16TH ST,OTHER OFFENSES,2009-04-15,Wednesday,TRAFFIC VIOLATION,90395968,"{u'latitude': u'37.7654480180266', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413107622693'}",MISSION,"ARREST, CITED",22:44,-122.413107623,37.765448018
96,1500 Block of FILBERT ST,LARCENY/THEFT,2005-12-30,Friday,GRAND THEFT FROM A BUILDING,51463477,"{u'latitude': u'37.7994323347034', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.425018759006'}",NORTHERN,NONE,02:00,-122.425018759,37.7994323347
97,WARREN DR / LOCKSLEY AV,OTHER OFFENSES,2009-02-18,Wednesday,TRAFFIC VIOLATION ARREST,90178269,"{u'latitude': u'37.7585613680063', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.463227244988'}",PARK,"ARREST, BOOKED",14:40,-122.463227245,37.758561368
98,300 Block of LAGRANDE AV,MISSING PERSON,2009-05-21,Thursday,MISSING JUVENILE,91103423,"{u'latitude': u'37.7197426710766', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.425591802243'}",INGLESIDE,NONE,07:30,-122.425591802,37.7197426711
99,MARKET ST / MASON ST,ASSAULT,2010-12-12,Sunday,BATTERY,101144218,"{u'latitude': u'37.783287873572', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408953598279'}",SOUTHERN,NONE,20:50,-122.408953598,37.7832878736
100,MISSISSIPPI ST / 17TH ST,VEHICLE THEFT,2005-10-11,Tuesday,STOLEN TRUCK,51149310,"{u'latitude': u'37.765248771999', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.394832565914'}",BAYVIEW,NONE,01:00,-122.394832566,37.765248772
101,200 Block of INTERSTATE80 HY,FORGERY/COUNTERFEITING,2006-05-06,Saturday,"COUNTERFEITING, COINS OR NOTES",81312957,"{u'latitude': u'37.8100241510612', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.365240723693'}",SOUTHERN,NONE,18:25,-122.365240724,37.8100241511
102,BUSH ST / KEARNY ST,NON-CRIMINAL,2013-06-06,Thursday,"AIDED CASE, MENTAL DISTURBED",130465720,"{u'latitude': u'37.7907593489246', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.404033177237'}",CENTRAL,PSYCHOPATHIC CASE,10:12,-122.404033177,37.7907593489
103,3300 Block of TARAVAL ST,VEHICLE THEFT,2012-10-04,Thursday,STOLEN AUTOMOBILE,120795543,"{u'latitude': u'37.7419403771323', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.501954411252'}",TARAVAL,NONE,09:00,-122.501954411,37.7419403771
104,100 Block of SANTAANA AV,BURGLARY,2013-09-06,Friday,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",130747346,"{u'latitude': u'37.7339791028814', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.467837584123'}",TARAVAL,NONE,21:50,-122.467837584,37.7339791029
105,300 Block of SPEAR ST,LARCENY/THEFT,2006-01-04,Wednesday,GRAND THEFT FROM LOCKED AUTO,60031534,"{u'latitude': u'37.7894806825431', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.390136077091'}",SOUTHERN,NONE,18:30,-122.390136077,37.7894806825
106,0 Block of DRUMM ST,ASSAULT,2005-06-05,Sunday,AGGRAVATED ASSAULT WITH BODILY FORCE,50627745,"{u'latitude': u'37.7941447423704', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.396421943768'}",CENTRAL,NONE,06:30,-122.396421944,37.7941447424
107,2000 Block of FILLMORE ST,LARCENY/THEFT,2011-08-25,Thursday,GRAND THEFT FROM A BUILDING,110681980,"{u'latitude': u'37.7884461157258', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.433676892244'}",NORTHERN,"ARREST, BOOKED",11:06,-122.433676892,37.7884461157
108,ASHBURY ST / OAK ST,ASSAULT,2010-07-30,Friday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,100695935,"{u'latitude': u'37.7718760580638', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.447314537469'}",PARK,NONE,12:23,-122.447314537,37.7718760581
109,800 Block of POTRERO AV,DRUG/NARCOTIC,2013-03-05,Tuesday,POSSESSION OF MARIJUANA,130188245,"{u'latitude': u'37.7585641691709', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406725329529'}",MISSION,NOT PROSECUTED,17:28,-122.40672533,37.7585641692
110,100 Block of OFARRELL ST,FRAUD,2014-01-14,Tuesday,"CREDIT CARD, THEFT BY USE OF",140048786,"{u'latitude': u'37.7865647607685', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407244087032'}",TENDERLOIN,NONE,14:20,-122.407244087,37.7865647608
111,700 Block of MONTGOMERY ST,BURGLARY,2009-05-01,Friday,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",90456786,"{u'latitude': u'37.7959918873778', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40334021406'}",CENTRAL,NONE,20:00,-122.403340214,37.7959918874
112,300 Block of ELLIS ST,TRESPASS,2011-04-25,Monday,LODGING WITHOUT PERMISSION,110333909,"{u'latitude': u'37.7849141859562', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411965795229'}",TENDERLOIN,"ARREST, BOOKED",05:58,-122.411965795,37.784914186
113,0 Block of HALLAM ST,NON-CRIMINAL,2004-11-21,Sunday,"AIDED CASE, MENTAL DISTURBED",41329265,"{u'latitude': u'37.7756834676857', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408600405402'}",SOUTHERN,PSYCHOPATHIC CASE,14:53,-122.408600405,37.7756834677
114,EDDY ST / LEAVENWORTH ST,ROBBERY,2010-01-04,Monday,"ROBBERY, BODILY FORCE",100105893,"{u'latitude': u'37.7837240254478', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414242955907'}",TENDERLOIN,NONE,19:00,-122.414242956,37.7837240254
115,2400 Block of MISSION ST,LARCENY/THEFT,2006-07-12,Wednesday,PETTY THEFT WITH PRIOR,60738382,"{u'latitude': u'37.7584120495369', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419101058487'}",MISSION,"ARREST, BOOKED",17:24,-122.419101058,37.7584120495
116,0 Block of SGTJOHNVYOUNG LN,VEHICLE THEFT,2005-04-20,Wednesday,STOLEN AUTOMOBILE,50442236,"{u'latitude': u'37.7249307267936', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.444707063455'}",INGLESIDE,NONE,18:00,-122.444707063,37.7249307268
117,2800 Block of HARRISON ST,VANDALISM,2009-09-20,Sunday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",90971041,"{u'latitude': u'37.7518117592566', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411890526714'}",MISSION,NONE,00:01,-122.411890527,37.7518117593
118,400 Block of HYDE ST,DRUG/NARCOTIC,2009-10-25,Sunday,POSSESSION OF NARCOTICS PARAPHERNALIA,91099145,"{u'latitude': u'37.7849125738476', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416235852379'}",TENDERLOIN,"ARREST, CITED",08:45,-122.416235852,37.7849125738
119,3100 Block of FILLMORE ST,OTHER OFFENSES,2006-08-27,Sunday,RESISTING ARREST,60914457,"{u'latitude': u'37.7987183534813', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.435889235002'}",NORTHERN,"ARREST, BOOKED",22:08,-122.435889235,37.7987183535
120,800 Block of BRYANT ST,LARCENY/THEFT,2007-07-29,Sunday,GRAND THEFT FROM LOCKED AUTO,70767638,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,NONE,12:30,-122.403404791,37.7754207067
121,800 Block of BRYANT ST,NON-CRIMINAL,2009-10-18,Sunday,LOST PROPERTY,91077903,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,NONE,15:00,-122.403404791,37.7754207067
122,1100 Block of PIERCE ST,DRUG/NARCOTIC,2008-03-21,Friday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,80301555,"{u'latitude': u'37.7805435736467', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.435590528188'}",PARK,"ARREST, BOOKED",20:00,-122.435590528,37.7805435736
123,200 Block of INTERSTATE80 HY,MISSING PERSON,2009-04-03,Friday,MISSING ADULT,90343973,"{u'latitude': u'37.8096707013239', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.365565425353'}",SOUTHERN,LOCATED,09:30,-122.365565425,37.8096707013
124,100 Block of FREDERICK ST,MISSING PERSON,2010-02-25,Thursday,MISSING ADULT,100189546,"{u'latitude': u'37.7674243770926', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.44518377656'}",PARK,LOCATED,07:30,-122.445183777,37.7674243771
125,2700 Block of FOLSOM ST,SECONDARY CODES,2011-12-02,Friday,DOMESTIC VIOLENCE,110966425,"{u'latitude': u'37.7532831691873', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414227348919'}",MISSION,NONE,11:25,-122.414227349,37.7532831692
126,700 Block of 7TH AV,LARCENY/THEFT,2013-05-19,Sunday,PETTY THEFT SHOPLIFTING,130411375,"{u'latitude': u'37.774384171507', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.464944716156'}",RICHMOND,NONE,10:47,-122.464944716,37.7743841715
127,FILLMORE ST / BAY ST,NON-CRIMINAL,2009-09-13,Sunday,"AIDED CASE, MENTAL DISTURBED",90944690,"{u'latitude': u'37.802626951154', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.436696534576'}",NORTHERN,NONE,18:36,-122.436696535,37.8026269512
128,500 Block of POST ST,LARCENY/THEFT,2003-11-04,Tuesday,GRAND THEFT FROM A BUILDING,31302497,"{u'latitude': u'37.7880293922851', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410904846406'}",CENTRAL,NONE,17:00,-122.410904846,37.7880293923
129,700 Block of OFARRELL ST,LARCENY/THEFT,2007-05-28,Monday,GRAND THEFT FROM PERSON,70539813,"{u'latitude': u'37.7852153590471', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417085357424'}",TENDERLOIN,UNFOUNDED,00:39,-122.417085357,37.785215359
130,400 Block of HYDE ST,LARCENY/THEFT,2012-11-29,Thursday,GRAND THEFT PICKPOCKET,120968198,"{u'latitude': u'37.7849300262869', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416099193953'}",TENDERLOIN,NONE,23:00,-122.416099194,37.7849300263
131,0 Block of BROOKDALE AV,WEAPON LAWS,2008-08-29,Friday,DISCHARGE FIREARM AT AN INHABITED DWELLING,80912801,"{u'latitude': u'37.71219982598', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.420864146521'}",INGLESIDE,JUVENILE BOOKED,08:53,-122.420864147,37.712199826
132,2300 Block of FOLSOM ST,DRIVING UNDER THE INFLUENCE,2012-01-21,Saturday,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,120055927,"{u'latitude': u'37.7596779372146', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414833494052'}",MISSION,"ARREST, BOOKED",02:12,-122.414833494,37.7596779372
133,3RD ST / NEWCOMB AV,LARCENY/THEFT,2011-10-13,Thursday,GRAND THEFT OF PROPERTY,116132446,"{u'latitude': u'37.7355926105862', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.390416955474'}",BAYVIEW,NONE,14:00,-122.390416955,37.7355926106
134,500 Block of BUCKINGHAM WY,SUSPICIOUS OCC,2005-02-18,Friday,SUSPICIOUS OCCURRENCE,50288375,"{u'latitude': u'37.7301475980791', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.478417223855'}",TARAVAL,NOT PROSECUTED,14:00,-122.478417224,37.7301475981
135,200 Block of INTERSTATE80 HY,SUSPICIOUS OCC,2007-07-25,Wednesday,SUSPICIOUS OCCURRENCE,70752827,"{u'latitude': u'37.8096707013239', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.365565425353'}",SOUTHERN,NONE,19:30,-122.365565425,37.8096707013
